gene_name number_of_transposon_per_gene number_of_read_per_gene
UBC4 15 178
TEC1 54 300
MIS1 66 1093
RPL19A 20 206
AAC3 15 102
YBR085C-A 4 20
IST2 52 339
RFC5 0 0
POL30 0 0
YBR089W 0 0
NHP6B 46 285
YBR090C 80 558
TIM12 0 0
PHO3 26 268
PHO5 16 122
PBY1 47 376
RXT2 11 77
YBR096W 16 65
VPS15 27 208
MMS4 55 726
YBR099C 18 348
FES1 13 64
EXO84 15 74
SIF2 17 72
YBR103C-A 24 217
YMC2 35 366
VID24 23 196
PHO88 11 48
IML3 16 60
AIM3 55 385
CMD1 0 0
YBR109W-A 22 297
ALG1 3 6
YSA1 28 159
SUS1 14 89
CYC8 18 95
YBR113W 11 50
RAD16 43 573
LYS2 17 66
YBR116C 36 341
TKL2 50 617
TEF2 1 0
MUD1 11 123
CBP6 4 6
GRS1 0 0
YBR121C-A 0 0
MRPL36 7 50
TFC1 7 17
YBR124W 22 244
PTC4 27 140
TPS1 25 177
YBR126W-A 19 260
YBR126W-B 18 208
VMA2 5 22
ATG14 23 212
OPY1 8 56
SHE3 9 30
CCZ1 6 9
YBR131C-A 0 0
AGP2 30 334
HSL7 64 518
YBR134W 39 622
CKS1 5 16
MEC1 5 11
YBR137W 17 119
YBR138C 27 202
YBR139W 19 135
IRA1 29 185
BMT2 38 402
YBR141W-A 3 2
MAK5 5 6
SUP45 2 1
YBR144C 21 392
ADH5 21 284
MRPS9 11 32
RTC2 17 263
YSW1 34 335
ARA1 20 212
TBS1 24 253
APD1 21 166
SPP381 17 166
RIB7 0 0
RPB5 1 0
CNS1 1 0
SLI15 3 2
ICS2 11 93
AMN1 31 242
IFA38 2 2
CDC28 1 0
CSH1 29 180
TOS1 18 119
YSY6 5 20
EXO5 41 315
ARL1 4 12
UBS1 14 99
TYR1 3 2
POP7 1 0
PEX32 31 169
SSE2 28 204
NPL4 10 161
SEC66 11 165
SMY2 21 154
UMP1 5 26
YBR174C 11 93
SWD3 13 154
ECM31 15 91
EHT1 24 339
YBR178W 30 283
FZO1 24 150
DTR1 36 325
RPS6B 6 16
SMP1 39 391
YBR182C-A 6 50
YPC1 18 219
YBR184W 28 187
MBA1 10 47
PCH2 57 664
GDT1 13 74
NTC20 12 50
RPS9B 3 7
YBR190W 22 113
RPL21A 1 0
YBR191W-A 3 2
RIM2 11 42
MED8 1 0
AIM4 8 41
MSI1 22 175
PGI1 0 0
YBR196C-A 27 188
YBR196C-B 11 146
YBR197C 68 1029
TAF5 0 0
KTR4 13 89
BEM1 13 134
YBR200W-A 4 6
DER1 18 141
YBR201C-A 4 35
MCM7 5 32
COS111 26 243
LDH1 19 167
KTR3 42 442
YBR206W 17 140
FTH1 27 176
DUR1,2 80 703
YBR209W 39 419
ERV15 7 22
AME1 3 8
NGR1 18 214
MET8 35 333
SDS24 28 415
HPC2 11 43
YBP1 18 101
ATG12 6 19
PYC2 46 432
YBR219C 62 513
YBR220C 44 512
PDB1 22 228
YBR221W-A 21 249
PCS60 99 987
TDP1 82 868
YBR223W-A 13 246
YBR224W 20 145
YBR225W 33 217
YBR226C 4 9
MCX1 30 80
SLX1 19 112
ROT2 45 472
OM14 19 67
YBR230W-A 8 32
SWC5 23 147
YBR232C 16 87
PBP2 44 380
DAD3 3 4
ARC40 0 0
VHC1 36 287
ABD1 4 36
PRP5 1 0
YBR238C 33 256
ERT1 95 1052
