gene_name number_of_transposon_per_gene number_of_read_per_gene
ECM33 38 1395
RPG1 8 68
SEC18 5 85
SPT7 11 76
UBC4 5 33
TEC1 28 531
MIS1 50 1831
RPL19A 14 146
AAC3 8 70
YBR085C-A 4 7
IST2 39 466
RFC5 0 0
POL30 1 0
YBR089W 0 0
NHP6B 29 423
YBR090C 57 766
TIM12 0 0
PHO3 20 699
PHO5 10 156
PBY1 29 652
RXT2 11 185
YBR096W 11 57
VPS15 17 178
MMS4 28 533
YBR099C 7 82
FES1 8 17
EXO84 7 42
SIF2 10 61
YBR103C-A 22 362
YMC2 31 590
VID24 28 344
PHO88 4 79
IML3 2 15
AIM3 38 1283
CMD1 0 0
YBR109W-A 5 35
ALG1 0 0
YSA1 10 278
SUS1 3 25
CYC8 12 143
YBR113W 11 64
RAD16 26 564
LYS2 28 386
YBR116C 25 703
TKL2 46 1689
TEF2 2 1
MUD1 8 138
CBP6 1 0
GRS1 0 0
YBR121C-A 0 0
MRPL36 7 38
TFC1 0 0
YBR124W 17 179
PTC4 17 214
TPS1 3 11
YBR126W-A 16 337
YBR126W-B 13 289
VMA2 3 27
ATG14 7 127
OPY1 10 146
SHE3 8 49
CCZ1 2 1
YBR131C-A 0 0
AGP2 16 323
HSL7 40 1185
YBR134W 29 1156
CKS1 1 0
MEC1 11 134
YBR137W 14 126
YBR138C 24 502
YBR139W 24 699
IRA1 28 452
BMT2 27 889
YBR141W-A 1 0
MAK5 2 3
SUP45 0 0
YBR144C 14 360
ADH5 11 72
MRPS9 1 0
RTC2 10 194
YSW1 22 353
ARA1 16 203
TBS1 18 575
APD1 11 68
SPP381 5 28
RIB7 1 0
RPB5 0 0
CNS1 1 0
SLI15 2 4
ICS2 11 117
AMN1 35 644
IFA38 0 0
CDC28 0 0
CSH1 18 190
TOS1 19 247
YSY6 1 0
EXO5 11 88
ARL1 7 54
UBS1 7 27
TYR1 4 3
POP7 0 0
PEX32 12 114
SSE2 21 265
NPL4 6 191
SEC66 10 90
SMY2 17 149
UMP1 1 0
YBR174C 5 56
SWD3 3 23
ECM31 8 46
EHT1 16 492
YBR178W 25 582
FZO1 8 43
DTR1 15 390
RPS6B 5 12
SMP1 24 218
YBR182C-A 2 1
YPC1 2 1
YBR184W 19 229
MBA1 7 94
PCH2 41 837
GDT1 13 236
NTC20 13 153
RPS9B 1 0
YBR190W 9 24
RPL21A 0 0
YBR191W-A 0 0
RIM2 2 1
MED8 0 0
AIM4 4 39
MSI1 16 334
PGI1 0 0
YBR196C-A 16 188
YBR196C-B 10 379
YBR197C 56 2400
TAF5 1 0
KTR4 13 114
BEM1 4 91
YBR200W-A 1 0
DER1 9 19
YBR201C-A 3 2
MCM7 6 64
COS111 20 353
LDH1 17 352
KTR3 19 435
YBR206W 9 26
FTH1 17 286
DUR1,2 66 1559
YBR209W 28 497
ERV15 5 16
AME1 2 2
NGR1 17 385
MET8 29 468
SDS24 15 476
HPC2 16 188
YBP1 13 136
ATG12 6 73
PYC2 36 655
YBR219C 41 754
YBR220C 31 746
PDB1 15 128
YBR221W-A 14 316
PCS60 67 2082
TDP1 50 1114
YBR223W-A 10 233
YBR224W 23 231
YBR225W 15 140
YBR226C 7 46
MCX1 18 215
SLX1 11 302
ROT2 28 654
OM14 11 45
YBR230W-A 10 178
SWC5 10 49
YBR232C 9 107
PBP2 22 607
DAD3 0 0
ARC40 0 0
VHC1 45 1499
ABD1 0 0
PRP5 0 0
YBR238C 19 417
ERT1 60 1206
THI2 32 905
YBR241C 31 634
YBR242W 19 282
ALG7 0 0
GPX2 4 35
ISW1 44 745
RRT2 7 41
ENP1 0 0
HIS7 20 264
ARO4 9 97
SPO23 31 748
MRPS5 5 58
DUT1 1 0
SRB6 2 11
TRS20 1 0
MTC4 11 212
YBR255C-A 5 17
RIB5 0 0
POP4 0 0
SHG1 6 26
YBR259W 26 577
RGD1 16 439
TAE1 13 350
MIC12 3 79
SHM1 22 500
YPT10 8 28
TSC10 2 9
REI1 7 69
SLM6 0 0
MRPL37 0 0
SDH8 4 27
BIT2 22 494
EFM2 13 153
HSM3 11 250
UBX7 13 162
CHK1 15 290
RIF1 28 483
PPS1 20 409
YBR277C 16 193
DPB3 9 96
PAF1 7 121
SAF1 21 341
DUG2 28 734
MRPL27 0 0
SSH1 10 186
YBR284W 67 1946
YBR285W 4 54
APE3 28 581
YBR287W 19 393
APM3 8 53
SNF5 11 65
BSD2 12 235
CTP1 38 1368
YBR292C 13 59
VBA2 18 202
SUL1 26 478
PCA1 43 1345
PHO89 28 728
YBR296C-A 4 13
MAL33 32 386
MAL31 10 262
YBR298C-A 11 183
MAL32 7 109
YBR300C 10 38
PAU24 1 0
COS2 0 0
YCL076W 0 0
GEX1 3 4
VBA3 1 0
YCL068C 0 0
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 0 0
CHA1 4 11
VAC17 13 111
MRC1 22 146
KRR1 3 6
FYV5 5 15
ADF1 0 0
MIC10 4 32
PRD1 25 406
PEX34 9 50
KAR4 9 121
RDT1 1 0
SPB1 5 29
PBN1 4 106
LRE1 44 1808
APA1 11 141
YCL049C 31 539
YCL048W-A 6 76
SPS22 46 1650
POF1 14 585
EMC1 24 459
YCL046W 3 5
MGR1 47 1138
