gene_name number_of_transposon_per_gene number_of_read_per_gene
ECM8 27 553
YBR076C-A 13 293
SLM4 34 242
ECM33 51 1862
RPG1 12 67
SEC18 3 16
SPT7 25 309
UBC4 16 192
TEC1 47 856
MIS1 59 1878
RPL19A 23 544
AAC3 6 12
YBR085C-A 7 45
IST2 33 357
RFC5 1 0
POL30 2 4
YBR089W 0 0
NHP6B 33 328
YBR090C 79 772
TIM12 0 0
PHO3 16 227
PHO5 17 151
PBY1 48 1358
RXT2 9 100
YBR096W 12 121
VPS15 23 243
MMS4 34 859
YBR099C 9 155
FES1 9 174
EXO84 18 376
SIF2 19 392
YBR103C-A 21 424
YMC2 34 738
VID24 25 511
PHO88 11 169
IML3 12 167
AIM3 47 921
CMD1 0 0
YBR109W-A 13 249
ALG1 0 0
YSA1 21 300
SUS1 3 5
CYC8 14 63
YBR113W 9 43
RAD16 27 620
LYS2 11 64
YBR116C 21 307
TKL2 42 1404
TEF2 3 5
MUD1 7 36
CBP6 7 37
GRS1 0 0
YBR121C-A 0 0
MRPL36 4 18
TFC1 1 0
YBR124W 17 382
PTC4 21 248
TPS1 25 721
YBR126W-A 20 650
YBR126W-B 20 402
VMA2 4 61
ATG14 17 320
OPY1 7 26
SHE3 13 132
CCZ1 4 6
YBR131C-A 0 0
AGP2 31 596
HSL7 72 1973
YBR134W 27 955
CKS1 2 9
MEC1 14 230
YBR137W 11 120
YBR138C 29 460
YBR139W 13 321
IRA1 28 436
BMT2 39 886
YBR141W-A 5 19
MAK5 1 0
SUP45 0 0
YBR144C 26 1324
ADH5 15 449
MRPS9 8 85
RTC2 10 31
YSW1 40 966
ARA1 13 456
TBS1 38 1038
APD1 18 450
SPP381 16 258
RIB7 0 0
RPB5 0 0
CNS1 2 5
SLI15 3 5
ICS2 14 139
AMN1 35 655
IFA38 1 0
CDC28 0 0
CSH1 21 213
TOS1 23 819
YSY6 0 0
EXO5 20 314
ARL1 3 7
UBS1 7 168
TYR1 6 7
POP7 0 0
PEX32 22 287
SSE2 18 178
NPL4 5 20
SEC66 10 208
SMY2 18 340
UMP1 3 16
YBR174C 11 186
SWD3 17 297
ECM31 13 211
EHT1 19 305
YBR178W 29 833
FZO1 10 36
DTR1 24 500
RPS6B 9 65
SMP1 32 723
YBR182C-A 3 8
YPC1 12 253
YBR184W 20 420
MBA1 7 174
PCH2 56 1000
GDT1 8 107
NTC20 13 137
RPS9B 6 34
YBR190W 19 239
RPL21A 3 5
YBR191W-A 1 0
RIM2 5 35
MED8 1 0
AIM4 6 10
MSI1 14 273
PGI1 0 0
YBR196C-A 20 320
YBR196C-B 8 97
YBR197C 76 3590
TAF5 1 0
KTR4 13 248
BEM1 5 13
YBR200W-A 3 10
