gene_name number_of_transposon_per_gene number_of_read_per_gene
SEC18 2 9
SPT7 28 214
UBC4 15 333
TEC1 52 582
MIS1 70 1325
RPL19A 27 310
AAC3 17 219
YBR085C-A 6 30
IST2 40 397
RFC5 2 3
POL30 0 0
YBR089W 0 0
NHP6B 32 246
YBR090C 57 367
TIM12 0 0
PHO3 25 293
PHO5 28 460
PBY1 58 870
RXT2 24 309
YBR096W 16 74
VPS15 27 285
MMS4 39 620
YBR099C 10 85
FES1 5 6
EXO84 16 123
SIF2 25 206
YBR103C-A 24 133
YMC2 48 538
VID24 28 446
PHO88 10 64
IML3 10 40
AIM3 63 655
CMD1 1 0
YBR109W-A 28 460
ALG1 1 0
YSA1 16 63
SUS1 9 22
CYC8 23 153
YBR113W 19 59
RAD16 42 659
LYS2 9 30
YBR116C 32 543
TKL2 58 834
TEF2 0 0
MUD1 20 161
CBP6 4 4
GRS1 2 1
YBR121C-A 0 0
MRPL36 8 118
TFC1 7 35
YBR124W 17 146
PTC4 30 417
TPS1 15 153
YBR126W-A 37 774
YBR126W-B 30 649
VMA2 8 36
ATG14 26 316
OPY1 15 157
SHE3 11 76
CCZ1 4 6
YBR131C-A 0 0
AGP2 35 634
HSL7 94 1429
YBR134W 37 554
CKS1 5 4
MEC1 14 42
YBR137W 24 243
YBR138C 37 450
YBR139W 17 167
IRA1 42 404
BMT2 40 421
YBR141W-A 3 6
MAK5 1 0
SUP45 0 0
YBR144C 30 512
ADH5 22 495
MRPS9 0 0
RTC2 21 564
YSW1 48 459
ARA1 18 172
TBS1 49 712
APD1 24 270
SPP381 19 222
RIB7 2 6
RPB5 0 0
CNS1 0 0
SLI15 3 11
ICS2 17 152
AMN1 43 813
IFA38 2 1
CDC28 1 0
CSH1 25 109
TOS1 31 506
YSY6 2 3
EXO5 2 2
ARL1 4 5
UBS1 13 94
TYR1 6 7
POP7 0 0
PEX32 32 444
SSE2 31 277
NPL4 11 36
SEC66 8 71
SMY2 34 238
UMP1 2 6
YBR174C 12 95
SWD3 18 87
ECM31 16 86
EHT1 37 507
YBR178W 38 302
FZO1 0 0
DTR1 40 293
RPS6B 10 156
SMP1 40 303
YBR182C-A 7 73
YPC1 17 351
YBR184W 37 461
MBA1 8 106
PCH2 65 930
GDT1 23 319
NTC20 16 68
RPS9B 2 1
YBR190W 12 85
RPL21A 3 2
YBR191W-A 0 0
RIM2 0 0
MED8 2 1
AIM4 15 91
MSI1 35 342
PGI1 0 0
YBR196C-A 32 195
YBR196C-B 10 198
YBR197C 98 2117
TAF5 1 0
KTR4 19 153
BEM1 13 28
YBR200W-A 1 0
DER1 7 54
YBR201C-A 7 80
MCM7 5 92
COS111 36 481
LDH1 27 378
KTR3 35 564
YBR206W 15 129
FTH1 38 345
DUR1,2 130 2217
YBR209W 46 673
ERV15 11 32
AME1 2 4
NGR1 22 445
MET8 53 1474
SDS24 29 402
HPC2 15 97
YBP1 25 440
ATG12 5 28
PYC2 48 731
YBR219C 58 729
YBR220C 42 596
PDB1 25 564
YBR221W-A 20 229
PCS60 78 1318
TDP1 87 1156
YBR223W-A 15 263
YBR224W 25 269
YBR225W 43 398
YBR226C 7 32
MCX1 35 294
SLX1 18 191
ROT2 37 373
OM14 10 39
YBR230W-A 8 78
SWC5 40 722
YBR232C 12 29
PBP2 37 250
DAD3 0 0
ARC40 0 0
VHC1 51 764
ABD1 3 11
PRP5 5 11
YBR238C 22 284
ERT1 99 1616
THI2 55 1242
YBR241C 75 1630
YBR242W 21 189
ALG7 0 0
GPX2 13 115
ISW1 83 1203
RRT2 7 29
ENP1 2 1
HIS7 28 239
ARO4 18 162
SPO23 55 638
MRPS5 2 2
DUT1 0 0
SRB6 5 22
TRS20 1 0
MTC4 20 217
YBR255C-A 9 106
RIB5 3 13
POP4 1 0
SHG1 11 92
YBR259W 36 502
RGD1 27 504
TAE1 13 97
MIC12 6 88
SHM1 30 225
YPT10 16 127
TSC10 2 3
REI1 15 201
SLM6 2 5
MRPL37 1 0
SDH8 8 31
BIT2 39 464
EFM2 22 326
HSM3 21 140
UBX7 33 289
CHK1 15 105
RIF1 29 343
PPS1 40 501
YBR277C 19 150
DPB3 9 74
PAF1 12 93
SAF1 29 310
DUG2 48 553
MRPL27 3 2
SSH1 20 181
YBR284W 83 1312
YBR285W 7 24
APE3 33 341
YBR287W 36 541
APM3 24 189
SNF5 22 48
BSD2 18 309
CTP1 60 1206
YBR292C 17 67
VBA2 25 325
SUL1 39 377
PCA1 89 1135
PHO89 43 537
YBR296C-A 8 53
MAL33 37 414
MAL31 35 351
YBR298C-A 8 80
MAL32 7 49
YBR300C 11 21
PAU24 2 1
COS2 1 0
YCL076W 2 1
GEX1 3 2
VBA3 1 0
YCL068C 0 0
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 0 0
CHA1 5 53
VAC17 21 235
MRC1 33 182
KRR1 3 5
FYV5 14 123
ADF1 4 7
MIC10 3 15
PRD1 49 667
PEX34 7 24
KAR4 15 120
RDT1 1 0
SPB1 10 64
PBN1 9 94
LRE1 78 1722
APA1 20 287
YCL049C 31 376
YCL048W-A 7 35
SPS22 33 582
POF1 23 447
EMC1 28 355
YCL046W 5 4
MGR1 59 788
PDI1 0 0
YCL041C 41 209
YCL042W 41 816
GLK1 125 2899
GID7 72 1350
ATG22 59 549
SRO9 57 841
GFD2 134 2910
GRX1 11 93
LSB5 90 1840
MXR2 38 137
STE50 63 1602
RRP7 3 10
HIS4 98 1334
BIK1 157 3346
RNQ1 59 1533
FUS1 94 1704
HBN1 36 205
FRM2 61 1024
AGP1 148 2993
YCL023C 48 1457
KCC4 340 6019
YCL022C 93 1507
YCL021W-A 56 856
LEU2 0 0
NFS1 3 18
DCC1 34 350
BUD3 699 14273
YCL012C 59 327
GBP2 134 1573
SGF29 90 2001
ILV6 147 2300
STP22 113 2021
YCL007C 20 364
VMA9 8 14
LDB16 99 1841
PGS1 29 655
YCL002C 122 2083
RER1 69 158
YCL001W-A 46 206
YCL001W-B 50 448
YCR001W 60 1191
CDC10 13 59
MRPL32 34 1436
YCP4 74 970
